fid,field_1,Lake,Area,Country,Continent,Name,lat,lon,lat_dms,lon_dms,coords_3395,lon_3395,lat_3395
41,41,Loch Maree,Scotland,United Kingdom,Europe,Muc-sheilch,57.68457505,-5.508956906,57°41?4.4702?,-5°30?32.2449?,Point (-613254.27757801 7865204.20762871),-613254.2776,7865204
42,42,Loch Morar,Scotland,United Kingdom,Europe,Morag,56.9567529,-5.747394704,56°57?24.3104?,-5°44?50.6209?,Point (-639797.05183724 7715436.47454003),-639797.0518,7715436
43,43,Loch Ness,Scotland,United Kingdom,Europe,Nessie,57.27379265,-4.485355486,57°16?25.6535?,-4°29?7.2797?,Point (-499307.48872834 7780309.74872181),-499307.4887,7780310
44,44,Lyepyel Lake,Lyepyel Raion (district) in the Vitebsk Province,Belarus,Europe,Lepelski Cmok,54.8863351,28.687524,54°53?10.8064?,28°41?15.0864?,Point (3193480.56379981 7304857.72524398),3193480.564,7304858
45,45,Maika marshes,,Democratic Republic of the Congo,Africa,Mahamba,2.5403431,28.0170201,2°32?25.2352?,28°1?1.2724?,Point (3118840.41107691 280989.90743251),3118840.411,280990
46,46,Mamfe Pool,,Republic of the Congo,Africa,Mokele-mbembe,5.9392213,-0.1141126,5°56?21.1967?,-0°6?50.8054?,Point (-12702.9565251 657920.13274779),-12702.95653,657920
47,47,Muskrat Lake,Ontario,Canada,North America,Mussie,45.67837165,-76.90757871,45°40?42.1379?,-76°54?27.2834?,Point (-8561312.50014081 5698374.89108659),-8561312.5,5698375
48,48,Okanagan Lake,British Columbia,Canada,North America,Ogopogo,49.92519185,-119.4943506,49°55?30.6907?,-119°29?39.6622?,Point (-13302050.2614649 6400615.20905926),-13302050.26,6400615
49,49,Payette Lake,Idaho,USA,North America,"Sharlie, Slimy Slim",44.9527959,-116.0896816,44°57?10.0652?,-116°5?22.8538?,Point (-12923044.24206526 5583892.62557865),-12923044.24,5583893
50,50,Schroon Lake,New York,USA,North America,Schroonie,43.8386732,-73.7609635,43°50?19.2235?,-73°45?39.4686?,Point (-8211032.89724124 5410904.91982348),-8211032.897,5410905
51,51,Seljordsvatnet,Telemark,Norway,Europe,Seljordsormen,59.443386,8.739382,59°26?36.1896?,8°44?21.7752?,Point (972863.5540879 8240013.90438238),972863.5541,8240014
52,52,Storsjön,,Sweden,Europe,Storsjöodjuret,63.05215645,14.41810792,63°3?7.7632?,14°25?5.1885?,Point (1605016.43185686 9074921.98426759),1605016.432,9074922
53,53,Tasik Chini,Pahang,Malaysia,Asia,Seri Gumum,3.42794335,102.9070859,3°25?40.5961?,102°54?25.5092?,Point (11455564.40140766 379271.71494725),11455564.4,379272
54,54,Thetis Lake,British Columbia,Canada,North America,Thetis Lake Monster,48.46967815,-123.4697817,48°28?10.8413?,-123°28?11.2141?,Point (-13744593.22720065 6153347.54123085),-13744593.23,6153348
55,55,Tian Chi,Lake Tianchi,ChinaNorth Korea,Asia,Lake Tianchi Monster,28.7269465,106.2455455,28°43?37.0074?,106°14?43.9638?,Point (11827200.02411358 3320405.5084496),11827200.02,3320406
56,56,White River,Arkansas,USA,North America,"White River Monster, Whitey",43.8198998,-72.6045818,43°49?11.6393?,-72°36?16.4945?,Point (-8082305.07523458 5408018.14037903),-8082305.075,5408018
